iso3c,setting,location_contact,age_contactor,age_cotactee,mean_number_of_contacts
IDN,urban,all,0 to 4,0 to 4,2.23974
IDN,urban,all,5 to 9,0 to 4,1.62102
IDN,urban,all,10 to 14,0 to 4,0.54133
IDN,urban,all,15 to 19,0 to 4,0.39437
IDN,urban,all,20 to 24,0 to 4,0.49195
IDN,urban,all,25 to 29,0 to 4,0.96659
IDN,urban,all,30 to 34,0 to 4,0.98345
IDN,urban,all,35 to 39,0 to 4,0.91781
IDN,urban,all,40 to 44,0 to 4,0.68778
IDN,urban,all,45 to 49,0 to 4,0.43169
IDN,urban,all,50 to 54,0 to 4,0.41454
IDN,urban,all,55 to 59,0 to 4,0.61587
IDN,urban,all,60 to 64,0 to 4,0.64586
IDN,urban,all,65 to 69,0 to 4,0.44571
IDN,urban,all,70 to 74,0 to 4,0.29413
IDN,urban,all,75+,0 to 4,0.33313
IDN,urban,all,0 to 4,5 to 9,1.14798
IDN,urban,all,5 to 9,5 to 9,7.15523
IDN,urban,all,10 to 14,5 to 9,3.04077
IDN,urban,all,15 to 19,5 to 9,0.68543
IDN,urban,all,20 to 24,5 to 9,0.48192
IDN,urban,all,25 to 29,5 to 9,0.55676
IDN,urban,all,30 to 34,5 to 9,1.08307
IDN,urban,all,35 to 39,5 to 9,1.22779
IDN,urban,all,40 to 44,5 to 9,0.92714
IDN,urban,all,45 to 49,5 to 9,0.50482
IDN,urban,all,50 to 54,5 to 9,0.44088
IDN,urban,all,55 to 59,5 to 9,0.54726
IDN,urban,all,60 to 64,5 to 9,0.5517
IDN,urban,all,65 to 69,5 to 9,0.51969
IDN,urban,all,70 to 74,5 to 9,0.55939
IDN,urban,all,75+,5 to 9,0.3724
IDN,urban,all,0 to 4,10 to 14,0.72272
IDN,urban,all,5 to 9,10 to 14,1.45143
IDN,urban,all,10 to 14,10 to 14,12.59053
IDN,urban,all,15 to 19,10 to 14,4.03612
IDN,urban,all,20 to 24,10 to 14,0.58552
IDN,urban,all,25 to 29,10 to 14,0.42848
IDN,urban,all,30 to 34,10 to 14,0.80563
IDN,urban,all,35 to 39,10 to 14,0.95697
IDN,urban,all,40 to 44,10 to 14,1.14034
IDN,urban,all,45 to 49,10 to 14,0.76477
IDN,urban,all,50 to 54,10 to 14,0.73305
IDN,urban,all,55 to 59,10 to 14,0.64728
IDN,urban,all,60 to 64,10 to 14,0.51669
IDN,urban,all,65 to 69,10 to 14,0.42071
IDN,urban,all,70 to 74,10 to 14,0.53443
IDN,urban,all,75+,10 to 14,0.47263
IDN,urban,all,0 to 4,15 to 19,0.53677
IDN,urban,all,5 to 9,15 to 19,0.61958
IDN,urban,all,10 to 14,15 to 19,1.31559
IDN,urban,all,15 to 19,15 to 19,12.55394
IDN,urban,all,20 to 24,15 to 19,2.72912
IDN,urban,all,25 to 29,15 to 19,1.13673
IDN,urban,all,30 to 34,15 to 19,0.64109
IDN,urban,all,35 to 39,15 to 19,0.96207
IDN,urban,all,40 to 44,15 to 19,1.07217
IDN,urban,all,45 to 49,15 to 19,1.24101
IDN,urban,all,50 to 54,15 to 19,1.0544
IDN,urban,all,55 to 59,15 to 19,0.69406
IDN,urban,all,60 to 64,15 to 19,0.51117
IDN,urban,all,65 to 69,15 to 19,0.35751
IDN,urban,all,70 to 74,15 to 19,0.64443
IDN,urban,all,75+,15 to 19,0.45176
IDN,urban,all,0 to 4,20 to 24,0.73619
IDN,urban,all,5 to 9,20 to 24,0.4509
IDN,urban,all,10 to 14,20 to 24,0.6545
IDN,urban,all,15 to 19,20 to 24,1.61633
IDN,urban,all,20 to 24,20 to 24,3.72497
IDN,urban,all,25 to 29,20 to 24,2.37172
IDN,urban,all,30 to 34,20 to 24,1.29218
IDN,urban,all,35 to 39,20 to 24,0.98082
IDN,urban,all,40 to 44,20 to 24,1.19573
IDN,urban,all,45 to 49,20 to 24,1.15022
IDN,urban,all,50 to 54,20 to 24,1.34884
IDN,urban,all,55 to 59,20 to 24,0.9751
IDN,urban,all,60 to 64,20 to 24,0.72785
IDN,urban,all,65 to 69,20 to 24,0.53797
IDN,urban,all,70 to 74,20 to 24,0.41439
IDN,urban,all,75+,20 to 24,0.32957
