date,admin2,cases
2017-11-05,Central Jakarta,0
2017-11-12,Central Jakarta,0
2017-11-19,Central Jakarta,0
2017-11-26,Central Jakarta,0
2017-12-03,Central Jakarta,0
2017-12-10,Central Jakarta,4
2017-12-17,Central Jakarta,6
2017-12-24,Central Jakarta,5
2017-12-31,Central Jakarta,1
2018-01-07,Central Jakarta,1
2018-01-14,Central Jakarta,1
2018-01-21,Central Jakarta,0
2018-01-28,Central Jakarta,0
2018-02-04,Central Jakarta,1
2018-02-11,Central Jakarta,0
2018-02-18,Central Jakarta,0
2018-02-25,Central Jakarta,2
2018-03-04,Central Jakarta,0
2017-11-05,East Jakarta,0
2017-11-12,East Jakarta,0
2017-11-19,East Jakarta,1
2017-11-26,East Jakarta,1
2017-12-03,East Jakarta,1
2017-12-10,East Jakarta,11
2017-12-17,East Jakarta,19
2017-12-24,East Jakarta,13
2017-12-31,East Jakarta,7
2018-01-07,East Jakarta,1
2018-01-14,East Jakarta,2
2018-01-21,East Jakarta,4
2018-01-28,East Jakarta,1
2018-02-04,East Jakarta,1
2018-02-11,East Jakarta,2
2018-02-18,East Jakarta,0
2018-02-25,East Jakarta,1
2018-03-04,East Jakarta,0
2017-11-05,North Jakarta,0
2017-11-12,North Jakarta,0
2017-11-19,North Jakarta,0
2017-11-26,North Jakarta,0
2017-12-03,North Jakarta,1
2017-12-10,North Jakarta,5
2017-12-17,North Jakarta,10
2017-12-24,North Jakarta,19
2017-12-31,North Jakarta,2
2018-01-07,North Jakarta,7
2018-01-14,North Jakarta,4
2018-01-21,North Jakarta,3
2018-01-28,North Jakarta,4
2018-02-04,North Jakarta,5
2018-02-11,North Jakarta,5
2018-02-18,North Jakarta,3
2018-02-25,North Jakarta,0
2018-03-04,North Jakarta,0
2017-11-05,South Jakarta,1
2017-11-12,South Jakarta,0
2017-11-19,South Jakarta,0
2017-11-26,South Jakarta,0
2017-12-03,South Jakarta,0
2017-12-10,South Jakarta,4
2017-12-17,South Jakarta,15
2017-12-24,South Jakarta,11
2017-12-31,South Jakarta,1
2018-01-07,South Jakarta,3
2018-01-14,South Jakarta,0
2018-01-21,South Jakarta,2
2018-01-28,South Jakarta,2
2018-02-04,South Jakarta,2
2018-02-11,South Jakarta,1
2018-02-18,South Jakarta,2
2018-02-25,South Jakarta,1
2018-03-04,South Jakarta,1
2017-11-05,West Jakarta,0
2017-11-12,West Jakarta,1
2017-11-19,West Jakarta,0
2017-11-26,West Jakarta,0
2017-12-03,West Jakarta,3
2017-12-10,West Jakarta,7
2017-12-17,West Jakarta,18
2017-12-24,West Jakarta,5
2017-12-31,West Jakarta,4
2018-01-07,West Jakarta,3
2018-01-14,West Jakarta,0
2018-01-21,West Jakarta,0
2018-01-28,West Jakarta,3
2018-02-04,West Jakarta,1
2018-02-11,West Jakarta,3
2018-02-18,West Jakarta,0
2018-02-25,West Jakarta,2
2018-03-04,West Jakarta,0
