rowname,mean,se_mean,sd,X2.5.,X25.,X50.,X75.,X97.5.,n_eff,Rhat
beta,0.3576040183498513,6.847130865608146e-4,0.02709233234693081,0.30962434380942633,0.3386814698447054,0.3555535726149964,0.3750272251887411,0.4171258261661094,1565.580964865375,0.9995367709012477
theta1,0.19801017153245853,0.0015403263007646778,0.0613530476177819,0.08544647227719705,0.1561184402168975,0.19619353089963554,0.23967140313999338,0.3241604794041355,1586.524631359358,1.000086845820467
theta2,0.022341554402384632,3.941287329206843e-4,0.020299923127784798,5.236888077367358e-4,0.006573886048810864,0.016569517575598845,0.03218500584456664,0.07652046669079993,2652.8493770796636,0.9995823309957115
theta3,0.9276151233263202,0.0013920682208165243,0.06343004904788896,0.7602239823949456,0.898662192346879,0.9439754370636954,0.9760171600422203,0.9975379268557991,2076.1993755101025,0.9996147396958144
p1,0.3895108763766314,0.001214004778194776,0.0707446401887116,0.2636326066322682,0.3394010834916691,0.3852855142494114,0.4345607021220841,0.5380598503424853,3395.8327466931873,1.0008398205646287
p2,0.8625848378884227,8.812850143047271e-4,0.051014010830819835,0.7479486054043282,0.8302677533243361,0.8687999524832604,0.8990341354493206,0.945731158584482,3350.7819669061873,1.000194940586189
kappa,0.33885800246274617,0.0019348831185966708,0.08168152144297895,0.22011133719543527,0.2833580276120873,0.3254614494229784,0.3792536019365987,0.5398795304115829,1782.1250142121792,0.9999177116946655
sigmaE_1,0.042914064042042364,9.637829593748062e-4,0.04642752734309879,0.0012375272966678103,0.011145082189365281,0.027559641349880412,0.05884866164248086,0.16785427662046903,2320.559040228443,1.0011496333544454
sigmaE_2,0.7960588937559255,0.0035630478168045122,0.14560740211073261,0.46376527841752335,0.6973757312543212,0.8187071856857163,0.9172057001405935,0.9912738174125639,1670.0274334040255,0.9998333185260563
S0,0.14637060905329968,5.633542456986023e-4,0.029069702844073057,0.09412259847533976,0.12551151648182107,0.14485913076408918,0.16452207137462802,0.20911303420390207,2662.6742679671734,0.9999363053473308
R0,3.9607668326010055,0.005448853849119966,0.2697699466947154,3.470773272465197,3.7694469635166663,3.9460337832621315,4.1322245784918366,4.526167305194411,2451.1890828769538,0.9999907749154205
